Date,Price,Open,High,Low,Vol.,Change %
12/01/2009,0.47,0.33,0.47,0.33,16.37B,42.42%
01/01/2010,0.38,0.46,0.47,0.38,12.90B,-19.15%
02/01/2010,0.41,0.39,0.45,0.38,12.86B,7.89%
03/01/2010,0.43,0.41,0.46,0.4,11.75B,4.88%
04/01/2010,0.39,0.44,0.45,0.39,17.11B,-9.30%
05/01/2010,0.33,0.39,0.4,0.3,20.77B,-15.38%
06/01/2010,0.26,0.32,0.33,0.26,13.69B,-21.21%
07/01/2010,0.23,0.26,0.29,0.22,19.24B,-11.54%
08/01/2010,0.23,0.23,0.26,0.22,19.42B,0.00%
09/01/2010,0.29,0.24,0.31,0.23,17.53B,26.09%
10/01/2010,0.3,0.3,0.31,0.26,15.81B,3.45%
11/01/2010,0.34,0.3,0.35,0.3,14.54B,13.33%
12/01/2010,0.39,0.35,0.39,0.35,11.21B,14.71%
01/01/2011,0.6,0.39,0.63,0.39,32.74B,53.85%
02/01/2011,0.57,0.6,0.65,0.54,24.03B,-5.00%
03/01/2011,0.46,0.57,0.57,0.43,27.60B,-19.30%
04/01/2011,0.5,0.47,0.51,0.42,15.33B,8.70%
05/01/2011,0.5,0.51,0.51,0.43,17.17B,0.00%
06/01/2011,0.4,0.5,0.5,0.37,15.96B,-20.00%
07/01/2011,0.35,0.4,0.41,0.34,14.55B,-12.50%
08/01/2011,0.33,0.35,0.38,0.29,22.57B,-5.71%
09/01/2011,0.31,0.34,0.4,0.31,20.09B,-6.06%
10/01/2011,0.37,0.31,0.4,0.29,14.85B,19.35%
11/01/2011,0.39,0.36,0.39,0.34,16.17B,5.41%
12/01/2011,0.35,0.39,0.4,0.33,9.74B,-10.26%
01/01/2012,0.37,0.36,0.38,0.34,11.60B,5.71%
02/01/2012,0.38,0.37,0.42,0.37,13.08B,2.70%
03/01/2012,0.38,0.38,0.39,0.36,10.33B,0.00%
04/01/2012,0.33,0.38,0.39,0.32,9.55B,-13.16%
05/01/2012,0.31,0.32,0.34,0.3,11.37B,-6.06%
06/01/2012,0.35,0.3,0.35,0.29,11.53B,12.90%
07/01/2012,0.34,0.35,0.35,0.3,8.50B,-2.86%
08/01/2012,0.35,0.34,0.38,0.33,9.92B,2.94%
09/01/2012,0.33,0.34,0.35,0.32,8.75B,-5.71%
10/01/2012,0.3,0.34,0.34,0.3,8.14B,-9.09%
11/01/2012,0.3,0.3,0.33,0.28,9.99B,0.00%
12/01/2012,0.31,0.3,0.32,0.29,8.04B,3.33%
01/01/2013,0.31,0.31,0.33,0.3,9.18B,0.00%
02/01/2013,0.32,0.31,0.32,0.3,9.90B,3.23%
03/01/2013,0.32,0.31,0.33,0.31,6.61B,0.00%
04/01/2013,0.34,0.32,0.34,0.3,9.39B,6.25%
05/01/2013,0.36,0.34,0.37,0.34,8.29B,5.88%
06/01/2013,0.35,0.36,0.39,0.35,9.30B,-2.78%
07/01/2013,0.36,0.35,0.37,0.35,5.23B,2.86%
08/01/2013,0.37,0.36,0.39,0.33,7.86B,2.78%
09/01/2013,0.39,0.37,0.4,0.37,4.82B,5.41%
10/01/2013,0.38,0.39,0.4,0.38,5.77B,-2.56%
11/01/2013,0.39,0.38,0.41,0.36,6.63B,2.63%
12/01/2013,0.4,0.39,0.4,0.37,6.17B,2.56%
01/01/2014,0.39,0.4,0.41,0.38,5.42B,-2.50%
02/01/2014,0.46,0.4,0.48,0.38,7.72B,17.95%
03/01/2014,0.45,0.45,0.47,0.44,7.22B,-2.17%
04/01/2014,0.46,0.46,0.49,0.45,6.94B,2.22%
05/01/2014,0.47,0.47,0.48,0.44,5.61B,2.17%
06/01/2014,0.46,0.48,0.49,0.46,5.28B,-1.38%
07/01/2014,0.44,0.46,0.49,0.44,6.27B,-5.61%
08/01/2014,0.49,0.44,0.49,0.43,6.08B,11.14%
09/01/2014,0.46,0.49,0.5,0.46,5.51B,-5.14%
10/01/2014,0.49,0.46,0.49,0.42,6.61B,5.91%
11/01/2014,0.52,0.5,0.53,0.48,4.64B,7.32%
12/01/2014,0.5,0.52,0.53,0.48,4.26B,-4.39%
01/01/2015,0.48,0.5,0.52,0.48,4.14B,-4.21%
02/01/2015,0.55,0.48,0.56,0.47,4.19B,14.87%
03/01/2015,0.52,0.55,0.59,0.51,7.31B,-5.15%
04/01/2015,0.55,0.53,0.57,0.52,5.67B,6.07%
05/01/2015,0.55,0.56,0.57,0.51,7.08B,0.00%
06/01/2015,0.5,0.56,0.57,0.5,7.33B,-9.13%
07/01/2015,0.5,0.52,0.52,0.48,5.48B,0.00%
08/01/2015,0.56,0.5,0.6,0.5,9.47B,12.68%
09/01/2015,0.62,0.55,0.62,0.54,6.48B,9.65%
10/01/2015,0.71,0.62,0.72,0.59,8.05B,15.09%
11/01/2015,0.79,0.71,0.8,0.69,7.35B,11.81%
12/01/2015,0.82,0.8,0.85,0.8,5.63B,3.91%
01/01/2016,0.73,0.81,0.84,0.66,8.14B,-11.13%
02/01/2016,0.78,0.73,0.8,0.62,9.00B,7.07%
03/01/2016,0.89,0.79,0.91,0.78,6.58B,13.62%
